iter	Passed	Remaining
995	56988	57445
996	57050	57393
997	57105	57334
998	57169	57284
999	57233	57233
1000	57297	57183
1001	57352	57123
1002	57411	57068
1003	57476	57018
1004	57531	56958
1005	57593	56906
1006	57661	56859
1007	57722	56805
1008	57775	56745
1009	57843	56697
1010	57898	56639
1011	57960	56585
1012	58028	56538
1013	58084	56480
1014	58143	56425
1015	58210	56376
1016	58281	56332
1017	58342	56279
1018	58401	56223
1019	58465	56172
1020	58526	56118
1021	58586	56064
1022	58641	56004
1023	58703	55951
1024	58761	55895
1025	58826	55844
1026	58889	55792
1027	58945	55734
1028	59001	55676
1029	59063	55622
1030	59117	55562
1031	59177	55507
1032	59235	55450
1033	59302	55402
1034	59360	55346
1035	59419	55289
1036	59474	55230
1037	59541	55181
1038	59606	55131
1039	59669	55079
1040	59730	55025
1041	59791	54971
1042	59849	54914
1043	59904	54854
1044	59959	54795
1045	60013	54734
1046	60083	54689
1047	60143	54633
1048	60201	54577
1049	60257	54518
1050	60325	54470
1051	60382	54413
1052	60453	54367
1053	60512	54312
1054	60571	54256
1055	60640	54209
1056	60696	54150
1057	60754	54093
1058	60811	54035
1059	60869	53978
1060	60931	53924
1061	60989	53868
1062	61053	53817
1063	61109	53758
1064	61176	53708
1065	61242	53659
1066	61298	53600
1067	61353	53540
1068	61407	53480
1069	61472	53429
1070	61528	53370
1071	61595	53321
1072	61646	53258
1073	61715	53211
1074	61770	53151
1075	61835	53100
1076	61899	53048
1077	61959	52993
1078	62029	52946
1079	62093	52894
1080	62151	52837
1081	62208	52779
1082	62270	52726
1083	62331	52671
1084	62391	52615
1085	62449	52558
1086	62507	52501
1087	62563	52442
1088	62628	52391
1089	62701	52347
1090	62768	52297
1091	62833	52246
1092	62888	52186
1093	62950	52132
1094	63003	52071
1095	63062	52015
1096	63121	51958
1097	63179	51901
1098	63238	51844
1099	63294	51786
1100	63349	51726
1101	63404	51666
1102	63462	51610
1103	63527	51558
1104	63605	51517
1105	63700	51490
1106	63773	51445
1107	63851	51403
1108	63921	51356
1109	63994	51310
1110	64058	51258
1111	64124	51206
1112	64184	51151
1113	64242	51093
1114	64312	51046
1115	64372	50990
1116	64437	50938
1117	64498	50883
1118	64554	50824
1119	64616	50769
1120	64684	50720
1121	64744	50664
1122	64800	50605
1123	64864	50552
1124	64934	50504
1125	64997	50450
1126	65067	50402
1127	65135	50353
1128	65205	50304
1129	65264	50247
1130	65336	50200
1131	65399	50147
1132	65459	50091
1133	65529	50042
1134	65589	49986
1135	65659	49938
1136	65722	49884
1137	65790	49834
1138	65845	49774
1139	65907	49719
1140	65970	49665
1141	66040	49617
1142	66107	49566
1143	66165	49508
1144	66215	49444
1145	66272	49386
1146	66328	49326
1147	66387	49269
1148	66443	49211
1149	66515	49163
1150	66575	49107
1151	66646	49059
1152	66701	48999
1153	66765	48946
1154	66825	48889
1155	66882	48831
1156	66938	48771
1157	67006	48721
1158	67064	48663
1159	67126	48608
1160	67183	48550
1161	67240	48491
1162	67301	48436
1163	67366	48383
1164	67431	48330
1165	67492	48275
1166	67560	48224
1167	67618	48166
1168	67687	48116
1169	67746	48059
1170	67807	48003
1171	67867	47947
1172	67923	47887
1173	67984	47832
1174	68041	47773
1175	68107	47721
1176	68167	47665
1177	68238	47616
1178	68295	47557
1179	68364	47507
1180	68429	47454
1181	68490	47398
1182	68551	47342
1183	68619	47291
1184	68686	47240
1185	68741	47179
1186	68801	47123
1187	68864	47068
1188	68929	47016
1189	68996	46964
1190	69061	46910
1191	69120	46853
1192	69187	46801
1193	69245	46743
1194	69305	46686
1195	69371	46634
1196	69442	46584
1197	69501	46527
1198	69565	46473
1199	69625	46416
1200	69682	46358
1201	69750	46306
1202	69812	46251
1203	69869	46192
1204	69927	46134
1205	69990	46080
1206	70055	46026
1207	70122	45974
1208	70189	45922
1209	70262	45873
1210	70325	45819
1211	70384	45761
1212	70448	45707
1213	70521	45659
1214	70582	45602
1215	70640	45544
1216	70699	45487
1217	70760	45430
1218	70826	45377
1219	70891	45324
1220	70956	45270
1221	71027	45220
1222	71086	45162
1223	71150	45108
1224	71213	45053
1225	71269	44994
1226	71327	44935
1227	71389	44879
1228	71450	44823
1229	71523	44774
1230	71589	44721
1231	71658	44670
1232	71715	44611
1233	71781	44557
1234	71840	44500
1235	71902	44444
1236	71974	44395
1237	72033	44337
1238	72106	44288
1239	72171	44234
1240	72242	44183
1241	72300	44125
1242	72357	44066
1243	72423	44012
1244	72487	43958
1245	72554	43905
1246	72617	43849
1247	72682	43795
1248	72740	43737
1249	72813	43688
1250	72870	43628
1251	72931	43572
1252	72994	43516
1253	73058	43462
1254	73123	43408
1255	73184	43351
1256	73246	43295
1257	73307	43238
1258	73373	43184
1259	73430	43125
1260	73491	43068
1261	73550	43011
1262	73610	42954
1263	73676	42899
1264	73730	42839
1265	73790	42782
1266	73857	42728
1267	73916	42670
1268	73980	42615
1269	74044	42561
1270	74104	42503
1271	74177	42453
1272	74237	42396
1273	74295	42337
1274	74362	42284
1275	74423	42228
1276	74498	42178
1277	74567	42126
1278	74634	42073
1279	74697	42017
1280	74753	41957
1281	74828	41908
1282	74899	41857
1283	74960	41800
1284	75025	41745
1285	75090	41691
1286	75151	41634
1287	75206	41573
1288	75268	41517
1289	75336	41464
1290	75397	41407
1291	75459	41350
1292	75536	41302
1293	75599	41246
1294	75653	41185
1295	75717	41130
1296	75776	41072
1297	75831	41012
1298	75900	40959
1299	75960	40901
1300	76019	40843
1301	76081	40787
1302	76149	40733
1303	76213	40678
1304	76278	40623
1305	76351	40572
1306	76421	40520
1307	76479	40461
1308	76545	40407
1309	76603	40348
1310	76669	40293
1311	76740	40241
1312	76812	40190
1313	76880	40137
1314	76944	40081
1315	77005	40024
1316	77071	39969
1317	77136	39914
1318	77202	39859
1319	77264	39803
1320	77326	39746
1321	77399	39695
1322	77465	39640
1323	77526	39582
1324	77591	39527
1325	77661	39474
1326	77722	39417
1327	77789	39363
1328	77852	39306
1329	77919	39252
1330	77980	39195
1331	78043	39139
1332	78105	39081
1333	78181	39032
1334	78239	38973
1335	78302	38916
1336	78363	38859
1337	78428	38803
1338	78496	38750
1339	78562	38694
1340	78623	38637
1341	78679	38577
1342	78744	38521
1343	78803	38463
1344	78863	38405
1345	78922	38347
1346	78977	38286
1347	79047	38233
1348	79108	38176
1349	79181	38124
1350	79238	38064
1351	79296	38005
1352	79360	37950
1353	79434	37898
1354	79490	37838
1355	79553	37782
1356	79611	37723
1357	79680	37669
1358	79744	37613
1359	79806	37556
1360	79860	37495
1361	79928	37440
1362	79986	37381
1363	80056	37328
1364	80115	37269
1365	80181	37214
1366	80249	37159
1367	80315	37104
1368	80380	37049
1369	80446	36993
1370	80509	36936
1371	80568	36878
1372	80645	36828
1373	80710	36771
1374	80776	36716
1375	80849	36664
1376	80904	36603
1377	80975	36550
1378	81040	36494
1379	81109	36440
1380	81178	36386
1381	81251	36334
